hierarchy_label,level_id,n_side,h,ensemble_size,seed,initial_nearest_neighbor_mean,initial_pair_distance_mean,density_proxy,terminal_survival_fraction,terminal_cluster_frequency,terminal_spectral_distortion
frozen_branch,n48,48,0.020833333333,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.194211961255
frozen_branch,n48,48,0.020833333333,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.25754305741
frozen_branch,n48,48,0.020833333333,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634078587921
frozen_branch,n48,48,0.020833333333,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.084953128538
frozen_branch,n48,48,0.020833333333,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.384358270488
frozen_branch,n48,48,0.020833333333,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.451434354911
frozen_branch,n48,48,0.020833333333,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.357342662471
frozen_branch,n48,48,0.020833333333,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.363781061576
frozen_branch,n48,48,0.020833333333,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.689073005208
frozen_branch,n60,60,0.016666666667,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.274464939682
frozen_branch,n60,60,0.016666666667,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.23911551683
frozen_branch,n60,60,0.016666666667,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634832479946
frozen_branch,n60,60,0.016666666667,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.184058607458
frozen_branch,n60,60,0.016666666667,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.356335929473
frozen_branch,n60,60,0.016666666667,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.435883940285
frozen_branch,n60,60,0.016666666667,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.293761029373
frozen_branch,n60,60,0.016666666667,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.303178075311
frozen_branch,n60,60,0.016666666667,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.676007331296
frozen_branch,n72,72,0.013888888889,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.322083128721
frozen_branch,n72,72,0.013888888889,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.231153074151
frozen_branch,n72,72,0.013888888889,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.635302696534
frozen_branch,n72,72,0.013888888889,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.249568570606
frozen_branch,n72,72,0.013888888889,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.342431510767
frozen_branch,n72,72,0.013888888889,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.429711897028
frozen_branch,n72,72,0.013888888889,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.252910381274
frozen_branch,n72,72,0.013888888889,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.26704927895
frozen_branch,n72,72,0.013888888889,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.668730500473
frozen_branch,n84,84,0.011904761905,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.351329194866
frozen_branch,n84,84,0.011904761905,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.227237817758
frozen_branch,n84,84,0.011904761905,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.635578512267
frozen_branch,n84,84,0.011904761905,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.293860172734
frozen_branch,n84,84,0.011904761905,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.334669413151
frozen_branch,n84,84,0.011904761905,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.427030778728
frozen_branch,n84,84,0.011904761905,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.225728384912
frozen_branch,n84,84,0.011904761905,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.244225476746
frozen_branch,n84,84,0.011904761905,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.285714285714,-0.664280685853
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0.212841139601,0.286392145242,4.698339812846,0.666666666667,0.0,0.0706203056
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.300786422939
periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634100017917
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,0.160385242843,0.33896256498,6.23498759784,0.6,0.4,-0.053584147681
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.441674539585
periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.489423431515
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,0.171666973495,0.404760425206,5.825232306713,0.714285714286,0.285714285714,-0.45112561577
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,0.221347520758,0.412613868881,4.517782700145,0.428571428571,0.0,-0.461299077618
periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1303,0.243541687787,0.416710468534,4.106073211069,0.714285714286,0.428571428571,-0.713507264245
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.175829478948
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.262627036095
periodic_diagonal_augmented_control,n60,60,0.016666666667,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.633937406918
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.063674613428
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.391648286786
periodic_diagonal_augmented_control,n60,60,0.016666666667,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.455993565816
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.371209718617
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.377624635434
periodic_diagonal_augmented_control,n60,60,0.016666666667,7,1303,0.243541687787,0.416710468534,4.106073211069,0.857142857143,0.428571428571,-0.692311811023
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.247143067782
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.244583099183
periodic_diagonal_augmented_control,n72,72,0.013888888889,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.634562099223
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.149152489445
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.365148709855
periodic_diagonal_augmented_control,n72,72,0.013888888889,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.440473661108
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.315815302286
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.323585097677
periodic_diagonal_augmented_control,n72,72,0.013888888889,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.680309187734
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.29469117111
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.235455686629
periodic_diagonal_augmented_control,n84,84,0.011904761905,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.635036400547
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.21113603653
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.350213092218
periodic_diagonal_augmented_control,n84,84,0.011904761905,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.433020097198
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.276735416333
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.287837718135
periodic_diagonal_augmented_control,n84,84,0.011904761905,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.672901302964
