probe_name,hierarchy_label,level_id,n_side,h,ensemble_size,seed,terminal_low_k_fraction,terminal_low_k_power,terminal_fluctuation_slope,transport_character_index,shell_distance_count,shell_latency_span
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,0.705696519891,0.788008466208,-1.097875618951,236396402616.0,2,0.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.729767494986,0.823846120566,-1.23049750107,236396402616.0,2,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.885464394135,1.234304581456,-1.383932817261,0.048909600541,2,2.6
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.588784217315,0.667850363924,1.344647703731,592748124933.0,2,0.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1302,0.588792186561,0.667961167111,1.345799793271,592748124933.0,2,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1302,0.772405256667,0.855975330207,-0.677123348254,0.134715482939,2,0.4
density_pulse,frozen_branch,n48,48,0.020833333333,3,1303,0.588497021849,0.664687722665,1.311241928771,589846124533.0001,2,0.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1303,0.588488372491,0.664609216472,1.310399368698,589846124533.0001,2,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1303,0.588873354249,0.66922209947,1.358827685342,0.032769229141,2,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,5,1301,0.319285791689,0.371931186358,0.356306195138,0.446877474602,4,4.2
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1301,0.318196091442,0.364016941978,0.346924028886,0.782035580553,4,2.4
bias_onset,frozen_branch,n48,48,0.020833333333,5,1301,0.443942735829,0.353935007036,-0.222156965821,0.165607534705,4,0.4
density_pulse,frozen_branch,n48,48,0.020833333333,5,1302,0.722829820467,0.667932764652,0.198830068085,0.541547844471,4,4.2
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1302,0.70660086405,0.661446678895,0.377252149003,0.63180581855,4,3.6
bias_onset,frozen_branch,n48,48,0.020833333333,5,1302,0.846239428106,0.790743102042,-1.034988992646,0.155079610008,4,2.0
density_pulse,frozen_branch,n48,48,0.020833333333,5,1303,0.412084752998,0.358095229076,1.357415160542,589846124533.0001,4,0.0
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1303,0.421710422505,0.366091672914,1.398101965847,589846124533.0001,4,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,0.466777155424,0.179566393254,-1.810087366991,0.186267197221,4,0.8
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0.221463285451,0.180761121249,0.820306853711,0.491336560302,6,4.2
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0.22085067393,0.176493360202,0.830538304553,0.306013922825,6,4.2
bias_onset,frozen_branch,n48,48,0.020833333333,7,1301,0.406586838429,0.266582098646,0.051884246717,0.104211063605,6,2.6
density_pulse,frozen_branch,n48,48,0.020833333333,7,1302,0.672193459201,0.644571664743,0.970766938916,0.218549254878,6,4.2
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1302,0.677025791998,0.62486909207,1.024321763793,0.355817557686,6,4.2
bias_onset,frozen_branch,n48,48,0.020833333333,7,1302,0.394377076006,0.243097329035,0.215059207134,0.087518599342,6,3.0
density_pulse,frozen_branch,n48,48,0.020833333333,7,1303,0.644289136975,0.534914822489,-0.593235514608,0.228864007838,6,4.2
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1303,0.645154480641,0.536248037921,-0.595718555985,0.228864007838,6,4.2
bias_onset,frozen_branch,n48,48,0.020833333333,7,1303,0.499104855036,0.22704471112,-0.564894489252,0.22949976346,6,1.2
density_pulse,frozen_branch,n60,60,0.016666666667,3,1301,0.700242090437,0.780336916753,-1.06968049129,236396402616.0,2,0.0
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1301,0.722789388919,0.813102033231,-1.190548641443,236396402616.0,2,0.0
bias_onset,frozen_branch,n60,60,0.016666666667,3,1301,0.888644384469,1.259084840656,-3.696664029604,0.048909600541,2,2.6
density_pulse,frozen_branch,n60,60,0.016666666667,3,1302,0.588636407833,0.666063378153,1.325899068293,592748124933.0,2,0.0
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1302,0.588565826055,0.665338658459,1.31820243414,592748124933.0,2,0.0
bias_onset,frozen_branch,n60,60,0.016666666667,3,1302,0.77465210594,0.857689098519,-0.691535637844,0.134715482939,2,0.4
density_pulse,frozen_branch,n60,60,0.016666666667,3,1303,0.588487702311,0.664603162289,1.310334364921,589846124533.0001,2,0.0
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1303,0.588482443463,0.664555797036,1.309825666332,589846124533.0001,2,0.0
bias_onset,frozen_branch,n60,60,0.016666666667,3,1303,0.588766434484,0.667609695755,1.342141204332,0.184326913917,2,0.0
density_pulse,frozen_branch,n60,60,0.016666666667,5,1301,0.331013952505,0.388724478608,0.333610712178,0.446877474602,4,4.2
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1301,0.33191375261,0.381518502965,0.316753441748,0.521357053702,4,3.6
bias_onset,frozen_branch,n60,60,0.016666666667,5,1301,0.440998592257,0.369007539675,-0.179778709371,0.165607534705,4,0.4
density_pulse,frozen_branch,n60,60,0.016666666667,5,1302,0.732821624536,0.669732885852,0.088051891783,0.541547844471,4,4.2
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1302,0.718304474494,0.662598398869,0.243107755574,0.541547844471,4,4.2
bias_onset,frozen_branch,n60,60,0.016666666667,5,1302,0.86005966046,0.557292090521,0.200331601794,0.131221208468,4,2.6
density_pulse,frozen_branch,n60,60,0.016666666667,5,1303,0.39843223667,0.345797532637,1.312519757585,589846124533.0001,4,0.0
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1303,0.405223142577,0.351127639639,1.337707692396,589846124533.0001,4,0.0
bias_onset,frozen_branch,n60,60,0.016666666667,5,1303,0.782879103651,0.295998820948,-3.276271995424,0.183507683188,4,2.4
density_pulse,frozen_branch,n60,60,0.016666666667,7,1301,0.235446720635,0.194472955479,0.747286808174,0.459637427379,6,4.2
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1301,0.23734420767,0.191563559117,0.74365527921,0.293263342707,6,4.2
bias_onset,frozen_branch,n60,60,0.016666666667,7,1301,0.404356479121,0.274967976552,0.066340738975,0.104211063605,6,2.6
density_pulse,frozen_branch,n60,60,0.016666666667,7,1302,0.683362148981,0.645871659898,0.789843151374,0.220268011901,6,4.2
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1302,0.687554382641,0.625664650965,0.851128354615,0.324605491222,6,4.2
bias_onset,frozen_branch,n60,60,0.016666666667,7,1302,0.419433204228,0.240513544425,0.146435889366,0.072949535949,6,3.0
density_pulse,frozen_branch,n60,60,0.016666666667,7,1303,0.643552495028,0.530905650671,-0.586880698302,0.228864007838,6,4.2
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1303,0.644070443646,0.531644367635,-0.588445390947,0.228864007838,6,4.2
bias_onset,frozen_branch,n60,60,0.016666666667,7,1303,0.292205431702,0.132047123894,0.454104194181,0.195992273447,6,2.4
density_pulse,frozen_branch,n72,72,0.013888888889,3,1301,0.697014707823,0.775868859892,-1.053281320874,236396402616.0,2,0.0
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1301,0.717650067488,0.805380864233,-1.16194856268,236396402616.0,2,0.0
bias_onset,frozen_branch,n72,72,0.013888888889,3,1301,0.859103405351,1.122825635397,-2.562818011815,0.048909600541,2,2.6
density_pulse,frozen_branch,n72,72,0.013888888889,3,1302,0.58855170197,0.665200959748,1.316733795405,592748124933.0,2,0.0
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1302,0.588443885386,0.664215883119,1.306167817886,592748124933.0,2,0.0
bias_onset,frozen_branch,n72,72,0.013888888889,3,1302,0.775815117044,0.858593066766,-0.699032562756,0.134715482939,2,0.4
density_pulse,frozen_branch,n72,72,0.013888888889,3,1303,0.588483248353,0.664563030304,1.309903366799,589846124533.0001,2,0.0
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1303,0.58847985775,0.664532599439,1.309576436974,589846124533.0001,2,0.0
bias_onset,frozen_branch,n72,72,0.013888888889,3,1303,0.588844263407,0.668738313044,1.353847048892,0.344076905978,2,0.0
density_pulse,frozen_branch,n72,72,0.013888888889,5,1301,0.33797252974,0.400638483005,0.322330179273,0.446877474602,4,4.2
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1301,0.340241449633,0.394559961742,0.301781632678,0.446877474602,4,4.2
bias_onset,frozen_branch,n72,72,0.013888888889,5,1301,0.435347834178,0.382170634861,-0.131978894369,0.156407116111,4,0.8
density_pulse,frozen_branch,n72,72,0.013888888889,5,1302,0.738318126578,0.671471712001,0.027834192077,0.541547844471,4,4.2
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1302,0.72501001226,0.664287409056,0.168165305103,0.541547844471,4,4.2
bias_onset,frozen_branch,n72,72,0.013888888889,5,1302,0.757596042359,0.802804568752,-0.504278815356,0.117646600696,4,2.6
density_pulse,frozen_branch,n72,72,0.013888888889,5,1303,0.39110147877,0.339357639733,1.290034578087,589846124533.0001,4,0.0
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1303,0.396423033884,0.343411816349,1.308510781914,589846124533.0001,4,0.0
bias_onset,frozen_branch,n72,72,0.013888888889,5,1303,0.643798935586,0.304808786464,-0.253163949634,0.157292299875,4,2.6
density_pulse,frozen_branch,n72,72,0.013888888889,7,1301,0.243267740241,0.20315357387,0.708022366155,0.395798895799,6,4.2
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1301,0.246843767244,0.201523315414,0.696117579461,0.281532808999,6,4.2
bias_onset,frozen_branch,n72,72,0.013888888889,7,1301,0.394705188906,0.277029096257,0.109847467437,0.101605787015,6,2.6
density_pulse,frozen_branch,n72,72,0.013888888889,7,1302,0.688750266154,0.648121248939,0.701250027751,0.220268011901,6,4.2
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1302,0.692021872216,0.62883881902,0.765572449298,0.293690682534,6,4.2
bias_onset,frozen_branch,n72,72,0.013888888889,7,1302,0.440128325071,0.240055702653,0.082393814219,0.078237033736,6,3.0
density_pulse,frozen_branch,n72,72,0.013888888889,7,1303,0.641794804444,0.52711517061,-0.577390209315,0.228864007838,6,4.2
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1303,0.642147281854,0.52759795547,-0.578478685816,0.228864007838,6,4.2
bias_onset,frozen_branch,n72,72,0.013888888889,7,1303,0.33403803668,0.27623564879,0.435783341846,0.177561804289,6,3.0
density_pulse,frozen_branch,n84,84,0.011904761905,3,1301,0.694924181699,0.77300212849,-1.042766985911,236396402616.0,2,0.0
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1301,0.713888417181,0.799827808785,-1.141429297409,236396402616.0,2,0.0
bias_onset,frozen_branch,n84,84,0.011904761905,3,1301,0.835471047837,1.044954637999,-2.146256570851,0.048909600541,2,2.6
density_pulse,frozen_branch,n84,84,0.011904761905,3,1302,0.588500859208,0.664722775623,1.311617915078,592748124933.0,2,0.0
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1302,0.588377217447,0.663656046013,1.300115479535,592748124933.0,2,0.0
bias_onset,frozen_branch,n84,84,0.011904761905,3,1302,0.776533524318,0.85915729034,-0.703676537062,0.134715482939,2,0.4
density_pulse,frozen_branch,n84,84,0.011904761905,3,1303,0.588480700524,0.664540153769,1.309657605316,589846124533.0001,2,0.0
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1303,0.588478287613,0.664518542164,1.30942538045,589846124533.0001,2,0.0
bias_onset,frozen_branch,n84,84,0.011904761905,3,1303,0.58873995573,0.667266615936,1.338558274538,0.344076905978,2,0.0
density_pulse,frozen_branch,n84,84,0.011904761905,5,1301,0.342327978986,0.40901716458,0.315782303689,0.446877474602,4,4.2
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1301,0.345510108255,0.403996887899,0.293232555923,0.446877474602,4,4.2
bias_onset,frozen_branch,n84,84,0.011904761905,5,1301,0.428823768981,0.392019316073,-0.088154768666,0.144375799487,4,1.4
density_pulse,frozen_branch,n84,84,0.011904761905,5,1302,0.741651611881,0.672791545564,-0.008324813188,0.541547844471,4,4.2
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1302,0.729168781252,0.66569557991,0.122452106677,0.541547844471,4,4.2
bias_onset,frozen_branch,n84,84,0.011904761905,5,1302,0.791399930653,0.767895957279,-0.605417378863,0.117646600696,4,2.6
density_pulse,frozen_branch,n84,84,0.011904761905,5,1303,0.386862851017,0.335690618134,1.277305394985,589846124533.0001,4,0.0
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1303,0.391345568055,0.339048898874,1.292341651147,589846124533.0001,4,0.0
bias_onset,frozen_branch,n84,84,0.011904761905,5,1303,0.606006088555,0.532240083255,1.317407810539,0.157292299875,4,2.6
density_pulse,frozen_branch,n84,84,0.011904761905,7,1301,0.247951598429,0.208839005552,0.684889898369,0.339256196399,6,4.2
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1301,0.252631285856,0.208241903044,0.667816648923,0.260678526851,6,4.2
bias_onset,frozen_branch,n84,84,0.011904761905,7,1301,0.38306987348,0.27539632738,0.157968307508,0.099127597088,6,2.6
density_pulse,frozen_branch,n84,84,0.011904761905,7,1302,0.691595458458,0.650013630367,0.652899248793,0.220268011901,6,4.2
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1302,0.694035118729,0.631866772549,0.719399363401,0.293690682534,6,4.2
bias_onset,frozen_branch,n84,84,0.011904761905,7,1302,0.456876443416,0.240614619744,0.027586802515,0.078237033736,6,3.0
density_pulse,frozen_branch,n84,84,0.011904761905,7,1303,0.640136639225,0.524139915086,-0.568886952281,0.228864007838,6,4.2
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1303,0.640402642303,0.52449562057,-0.569716901865,0.228864007838,6,4.2
bias_onset,frozen_branch,n84,84,0.011904761905,7,1303,0.413051734778,0.395712974841,0.143681882543,0.171740105787,6,3.0
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0.715981206743,0.80290718974,-1.152803138896,236396402616.0,2,0.0
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0.739255092363,0.838968134106,-1.287071540766,236396402616.0,2,0.0
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0.870311979114,1.1514426392,-1.278217181772,0.068948950763,2,2.4
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,0.588989467729,0.671882885533,1.385840838054,592748124933.0,2,0.0
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,0.589035384743,0.674530009147,1.412115643297,592748124933.0,2,0.0
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,0.766661099537,0.851784280792,-0.640670832575,0.197582708311,2,0.4
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,0.588522050068,0.664918895069,1.313719085432,589846124533.0001,2,0.0
